"Drift.Time..days.","NA_11_HP","Column1","Column2","NA_11_H","Column3","Column4","NA_11_M","Column5","Column6","NA_11_L","Column7","Column8","Alt2a_11_M","Column9","Column10","NA_75_HP","Column11","Column12","NA_75_H","Column13","Column14","NA_75_M","Column15","Column16","NA_75_L","Column17","Column18","NA_75_LF","Column19","Column20"
NA,"ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained"
3.875,"3.54253213282369","92.1117957129977","0.999939605387804","3.53530004659911","91.6384385754193","0.999939540980997","3.3488972225641","86.5049781124294","0.999939540980997","3.13105909168381","80.2397690568037","0.999939540980997","3.43724872758302","83.4095717329316","0.999940420207328","3.52072350792435","92.067137810827","0.999999999825535","3.50830532180808","90.9992178487607","0.999999999825535","3.32521637740515","86.80989255142","0.999999999825535","3.10013789120649","81.5101844853472","0.999999999825535","3.07873118071219","79.7167202901421","0.999999999825535"
4,"3.53306806892907","95.6448637819268","0.999548158139365","3.52593436290945","95.1643729383288","0.999547776580867","3.34184622067089","89.8468243331002","0.999547776580867","3.12660336345582","83.3663724202595","0.999547776580867","3.44142484422819","86.8509965771598","0.999553796190552","3.50056173442784","95.5676995452549","0.999999993210082","3.488921117688","94.4881389664487","0.999999993210082","3.30839626606494","90.118288817485","0.999999993210082","3.08637536665321","84.5965598520004","0.999999993210082","3.06626621049334","82.7829865006354","0.999999993210082"
4.125,"3.52738751740633","99.1722512993331","0.997676698075724","3.52033590794048","98.6847088462692","0.997675046360486","3.33834754082829","93.1851718739285","0.997675046360486","3.12546390825625","86.4918363285158","0.997675046360486","3.44849144808087","90.2994880252406","0.99770307711634","3.48416354322719","99.0518630884821","0.999999846087177","3.47290396867755","97.9610429351263","0.999999846087177","3.29616092932687","93.4144497468119","0.999999846087177","3.07861430885843","87.6751741608588","0.999999846087177","3.05912702898236","85.8421135296178","0.999999846087177"
4.25,"3.52179931245142","102.694050611785","0.991268245826791","3.51481783181716","102.199526678086","0.991262987352593","3.33460803693697","96.5197799108655","0.991262987352593","3.12373292733536","89.6155692558511","0.991262987352593","3.45321311279524","93.7527011380359","0.991356644796869","3.47571640758201","102.527579496064","0.999997814748696","3.46472820905138","101.425771144178","0.999997814748696","3.29188792533754","96.7063376721494","0.999997814748696","3.07894903872976","90.7541231995885","0.999997814748696","3.05989460514212","88.9020081347599","0.999997814748696"
4.375,"3.52491256507252","106.218963176857","0.974712977546956","3.51800063287689","105.717527310963","0.974698434960747","3.33938469900435","99.8591646098699","0.974698434960747","3.13031292922413","92.7458821850752","0.974698434960747","3.46480027051352","97.2175014085494","0.974934456469852","3.52130345351766","106.048882949582","0.999979312339116","3.51056780864922","104.936338952827","0.999979312339116","3.34172322352328","100.048060895673","0.999979312339116","3.13349239839255","93.8876155979811","0.999979312339116","3.11483461898176","92.0168427537416","0.999979312339116"
4.5,"3.55643250252231","109.775395679379","0.941005318825701","3.5496080319659","109.267135342929","0.940977109206885","3.37253584647781","103.231700456348","0.940977109206885","3.16520539740079","95.911087582476","0.940977109206885","3.50469408272854","100.722195491278","0.941446241978011","3.604010846245","109.652893795827","0.999862073287699","3.59351541629618","108.529854369123","0.999862073287699","3.42853444377957","103.476595339452","0.999862073287699","3.22486567218092","97.112481270162","0.999862073287699","3.2065854612782","95.2234282150198","0.999862073287699"
4.625,"3.60741643699445","113.382812116374","0.884776562710005","3.60065139236703","112.867786735296","0.884733791362195","3.42470808792901","106.656408544277","0.884733791362195","3.2186577226202","99.1297453050962","0.884733791362195","3.56309896490098","104.285294456179","0.885498956549425","3.69120424517803","113.344098041005","0.999320756998061","3.68090243583699","112.21075680496","0.999320756998061","3.51903606672722","106.995631406179","0.999320756998061","3.3190628513602","100.431544121522","0.999320756998061","3.30109128132608","98.5245194963459","0.999320756998061"
4.75,"3.64479308846758","117.027605204841","0.805305063145072","3.63810222609324","116.505888961389","0.805253702920226","3.46360020368008","110.120008747957","0.805253702920226","3.25917862012022","102.388923925216","0.805253702920226","3.60621592750685","107.891510383686","0.80631131850361","3.75841156272843","117.102509603733","0.997423793992447","3.74832036685248","115.959077171813","0.997423793992447","3.58977522875528","110.585406634935","0.997423793992447","3.39373954213329","103.825283663656","0.997423793992447","3.37610555818795","101.900625054534","0.997423793992447"
4.875,"3.65796315031094","120.685568355152","0.707337488334803","3.65137718301191","120.157266144401","0.707280417457951","3.47860488029244","113.598613628249","0.707280417457951","3.27613349188034","105.665057417097","0.707280417457951","3.6229581943624","111.514468578048","0.708558576610845","3.77221920648194","120.874728810215","0.992191266279776","3.76229083999364","119.721368011806","0.992191266279776","3.60629000079378","114.191696635729","0.992191266279776","3.41328414287992","107.238567806535","0.992191266279776","3.39591518248864","105.296540237022","0.992191266279776"
5,"3.65994573687305","124.345514092025","0.59942251808697","3.65344536791557","123.810711512317","0.59936031463707","3.4825309102153","117.081144538464","0.59936031463707","3.28215159860485","108.947209015702","0.59936031463707","3.62734451958965","115.141813097638","0.60074408160709","3.75970371529838","124.634432525514","0.980453186735246","3.7498815947491","123.471249606555","0.980453186735246","3.59552544776635","117.787222083495","0.980453186735246","3.40449365707666","110.643061463612","0.980453186735246","3.38730168944816","108.683841926471","0.980453186735246"
5.125,"3.66034767393873","128.005861765964","0.491022204167423","3.65393536948946","127.464646881806","0.490961806139107","3.48475822369826","120.565902762163","0.490961806139107","3.28633588427971","112.233544899981","0.490961806139107","3.62948304809148","118.771296145729","0.492328413276567","3.74883793920385","128.383270464717","0.95839761262712","3.73914897801239","127.210398584568","0.95839761262712","3.58683292278446","121.374055006279","0.95839761262712","3.39824292153586","114.041304385148","0.95839761262712","3.3812709584836","112.065112884954","0.95839761262712"
5.25,"3.65993676751555","131.66579853348","0.390072091587468","3.6536086806327","131.118255562439","0.390018794366213","3.48585040114623","124.051753163309","0.390018794366213","3.28903015304547","115.522575053027","0.390018794366213","3.63008304737878","122.401379193108","0.391272792498771","3.74180698743021","132.125077452148","0.922732576214096","3.732296028149","130.942694612717","0.922732576214096","3.58269965570967","124.956754661989","0.922732576214096","3.39735685550544","117.438661240653","0.922732576214096","3.38067544937811","115.445788334332","0.922732576214096"
5.375,"3.67196384512972","135.337762378609","0.301638247052835","3.66571041159509","134.783965974034","0.30160924187849","3.49954162957722","127.551294792886","0.30160924187849","3.30451312671557","118.827088179742","0.30160924187849","3.64428368801354","126.045662881122","0.302691353164502","3.78237593993758","135.907453392085","0.871904298223613","3.77300988320572","134.715704495922","0.871904298223613","3.6256320714397","128.582386733429","0.871904298223613","3.44294664744198","120.881607888095","0.871904298223613","3.42650339534917","118.872291729682","0.871904298223613"
5.5,"3.70260737520067","139.04036975381","0.227873483874582","3.69642875763465","138.480394731669","0.227857448659416","3.53191564973843","131.083210442625","0.227857448659416","3.33875364915777","122.1658418289","0.227857448659416","3.6786372505946","129.724300131716","0.228749479984496","3.83760536959565","139.745058761681","0.806932773933127","3.82836759324259","138.544072089165","0.806932773933127","3.68295547882978","132.265342212259","0.806932773933127","3.50262988585837","124.384237773954","0.806932773933127","3.48639832805142","122.358690057733","0.806932773933127"
5.625,"3.73987244224727","142.780242196057","0.168747970453385","3.73376343712335","142.214158168792","0.168740358022267","3.5706434946195","134.653853937244","0.168740358022267","3.37905512386942","125.54489695277","0.168740358022267","3.71972683106351","133.44402696278","0.169447713519539","3.87256863377","143.617627395451","0.731093299805435","3.86345720542644","142.407529294591","0.731093299805435","3.71998779635391","135.985330008612","0.731093299805435","3.5419951953509","127.926232969305","0.731093299805435","3.52597255411292","125.884662611846","0.731093299805435"
5.75,"3.76654423830741","146.546786434365","0.12287815282691","3.76050721728787","145.97466538608","0.122873891812523","3.59863753958172","138.252491476826","0.122873891812523","3.40846335488778","128.953360307657","0.122873891812523","3.74927649479023","137.19330345757","0.123415770162801","3.89262735534957","147.5102547508","0.648953618169762","3.88367859186663","146.291207886458","0.648953618169762","3.7427134891566","139.728043497769","0.648953618169762","3.56772092530425","131.493953894609","0.648953618169762","3.55196545034067","129.436628062187","0.648953618169762"
5.875,"3.77616931995442","150.322955754319","0.0882308419437784","3.77018742837999","149.74485281446","0.0882312378213611","3.60936866224496","141.861860139071","0.0882312378213611","3.42038588243519","132.373746190093","0.0882312378213611","3.7602107126135","140.953514170183","0.0886358014134359","3.88430843231332","151.394563183114","0.565239108163945","3.87553659029886","150.166744476757","0.565239108163945","3.73729600648354","143.465339504253","0.565239108163945","3.56556743757797","135.059521332187","0.565239108163945","3.55010299535471","132.986731057541","0.565239108163945"
6,"3.77608756135459","154.099043315674","0.0626208791927727","3.77015578270862","153.515008597169","0.0626259540059147","3.61012391598183","145.471984055053","0.0626259540059147","3.42203603466263","135.795782224755","0.0626259540059147","3.76024768456863","144.713761854752","0.0629214098448006","3.88012746807","155.274690651184","0.484071435613985","3.8715144812917","154.038258958049","0.484071435613985","3.73571134022247","147.201050844475","0.484071435613985","3.56690933934177","138.626430671529","0.484071435613985","3.55170675821122","136.538437815753","0.484071435613985"
6.125,"3.77497121611245","157.874014531786","0.0440181028940152","3.76908850633647","157.284097103505","0.044025411881685","3.60987738809396","149.081861443147","0.044025411881685","3.42272119390092","139.218503418656","0.044025411881685","3.75917873287779","148.47294058763","0.0442373769665367","3.87813369669314","159.152824347877","0.408571731188193","3.8696761964144","157.907935154463","0.408571731188193","3.73625547293163","150.937306317407","0.408571731188193","3.57031711296423","142.196747784493","0.408571731188193","3.55537114094395","140.093808956696","0.408571731188193"
6.25,"3.77499516234323","161.649009694129","0.0307012479718834","3.76918758199668","161.053284685502","0.0307087913567831","3.61096594047255","152.692827383619","0.0307087913567831","3.42492894293496","142.643432361591","0.0307087913567831","3.75957422708596","152.232514814716","0.0308583798691347","3.87776555348692","163.030589901364","0.340669235965244","3.86944354486955","161.777378699333","0.340669235965244","3.73810405914501","154.675410376552","0.340669235965244","3.57467155565223","145.771419340145","0.340669235965244","3.55995120531935","143.653760162016","0.340669235965244"
6.375,"3.78367558206134","165.432685276191","0.0212839839481","3.77792096366562","164.831205649167","0.0212923157759312","3.62071232327169","156.313539706891","0.0212923157759312","3.43581859938706","146.079250960978","0.0212923157759312","3.76922590080863","156.001740715524","0.021396640267742","3.87649349379594","166.90708339516","0.281239261993769","3.86828049973113","165.645659199064","0.281239261993769","3.7386094706361","158.414019847188","0.281239261993769","3.57719164509758","149.348610985243","0.281239261993769","3.56265330811113","147.216413470127","0.281239261993769"
6.5,"3.80614311656787","169.238828392759","0.0146795220899805","3.80043692265643","168.631642571824","0.0146871994908742","3.64414338851041","159.957683095401","0.0146871994908742","3.46028015346354","149.539531114442","0.0146871994908742","3.79346653323653","159.795207248761","0.0147589874802069","3.89410354851541","170.801186943675","0.23036155033113","3.88600515590962","169.531664354973","0.23036155033113","3.75808812492578","162.172107972114","0.23036155033113","3.59878732380532","152.947398309048","0.23036155033113","3.58444016452214","150.800853634649","0.23036155033113"
