"Drift.Time..days.","Alt1a_11_H","Column7","Column8","Alt1a_11_M","Column9","Column10","Alt1a_11_L","Column11","Column12","Alt1a_85_H","Column19","Column20","Alt1a_85_M","Column21","Column22","Alt1a_85_L","Column23","Column24","Alt1a_75_H","Column43","Column44","Alt1a_75_M","Column45","Column46","Alt1a_75_L","Column47","Column48","Alt1a_68_H","Column49","Column50","Alt1a_68_M","Column51","Column52","Alt1a_68_L","Column53","Column54"
NA,"ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained"
5.375,"3.70809677768766","136.213410465931","0.570927197578552","3.36833491312724","112.76294253146","0.570927197578552","3.18940679818124","106.41311708547","0.570927197578552","2.40130413447522","89.2534930385417","0.996621488572784","2.27811475368953","84.6097502116942","0.996621275430351","2.13783516925782","79.3726434487527","0.996621275430351","3.17332653035695","124.661262164531","0.969338157321263","3.03054294039885","117.606396600454","0.969338157321263","2.85164194142997","110.945283198589","0.969338157321263","2.77594966048653","97.7544571020892","0.913451685214352","2.54939344859416","90.4240384857535","0.913451685214352","2.29877745696763","87.1219225790658","0.91498716642542"
5.5,"3.7400866428422","139.953497108774","0.473019622748739","3.40354717121043","116.16648970267","0.473019622748739","3.22635515854877","109.639472244019","0.473019622748739","2.44978737969602","91.7032804182377","0.989369976246562","2.3337847590482","86.9435349707424","0.989369407368863","2.20153755308422","81.5741810018369","0.989369407368863","3.21554196824857","127.876804132779","0.945463859581346","3.07485463850383","120.681251238958","0.945463859581346","2.89847517637231","113.843758374961","0.945463859581346","2.82064276071434","100.575099862804","0.837729110648952","2.59993697538912","93.0239754611426","0.837729110648952","2.34335013306663","89.4652727121324","0.840098967996394"
5.625,"3.77717915953901","143.730676268313","0.38201638685032","3.44391130270835","119.610401005378","0.38201638685032","3.26846143907844","112.907933683097","0.38201638685032","2.49744108033801","94.2007214985757","0.972119385467774","2.38810859759279","89.3316435683352","0.972118125584954","2.26332619147329","83.8375071933102","0.972118125584954","3.25629175829391","131.133095891073","0.911732371678258","3.11766838216665","123.798919621125","0.911732371678258","2.94376115594573","116.787519530907","0.911732371678258","2.83491057456287","103.410010437366","0.734791492183565","2.6224639293656","95.6464393905082","0.734791492183565","2.36452417034246","91.8297968824749","0.737960291880167"
5.75,"3.80279204705126","147.533468315364","0.301478225786587","3.47276378824772","123.083164793626","0.301478225786587","3.29902179162384","116.206955474721","0.301478225786587","2.51766600568286","96.7183875042586","0.93777102162525","2.41392776342164","91.7455713317569","0.937768681141276","2.29543623542354","86.1329434287337","0.937768681141276","3.29212507192576","134.425220962999","0.868055253822406","3.15547436764189","126.954393988767","0.868055253822406","2.98391558847227","119.771435119379","0.868055253822406","2.84610301971948","106.256113457086","0.613498593316365","2.64211265121299","98.2885520417212","0.613498593316365","2.38424947085218","94.2140463533271","0.617248488996265"
5.875,"3.81079024050067","151.344258555865","0.23317096402644","3.48363366647931","126.566798460105","0.23317096402644","3.3114030524643","119.518358527185","0.23317096402644","2.49695506577651","99.2153425700351","0.879562896229769","2.39764133403739","94.1432126657943","0.879559154826424","2.28414867833137","88.4170921070651","0.879559154826424","3.29873527639221","137.723956239391","0.815453973556887","3.16367923032395","130.118073219091","0.815453973556887","2.9940109607422","122.765446080122","0.815453973556887","2.84106174274089","109.097175199827","0.487340313414978","2.64169947044601","100.930251512167","0.487340313414978","2.38441700600786","96.5984633593349","0.491333157448496"
6,"3.81067309030778","155.154931646172","0.177228486924665","3.48615097388854","130.052949433994","0.177228486924665","3.315305647242","122.833664174427","0.177228486924665","2.45030115536926","101.665643725404","0.79435407049402","2.35407424453891","96.4972869103332","0.794348969979339","2.24409962035967","90.6611917274247","0.794348969979339","3.28349994836241","141.007456187754","0.755857994692054","3.15016120757447","133.268234426665","0.755857994692054","2.98253674612911","125.747982826251","0.755857994692054","2.81550970963451","111.912684909461","0.36944867121847","2.61920272239348","103.549454234561","0.36944867121847","2.36380299597007","98.962266355305","0.373352618752967"
6.125,"3.81107736940031","158.966009015573","0.132726895050306","3.48908191185435","133.542031345848","0.132726895050306","3.3195641407576","126.153228315185","0.132726895050306","2.40658970547973","104.072233430884","0.685152975486366","2.31313203110386","98.810418941437","0.685146787842504","2.20633879191852","92.8675305193433","0.685146787842504","3.26616193688275","144.273618124636","0.691745965388465","3.13450968152708","136.402744108192","0.691745965388465","2.96889799302269","128.716880819273","0.691745965388465","2.78798168268327","114.700666592145","0.268934843101538","2.59505316500394","106.144507399565","0.268934843101538","2.34200129180977","101.304267647115","0.272488897761283"
6.25,"3.81185939621742","162.77786841179","0.0981576722184891","3.49197469259164","137.03400603844","0.0981576722184891","3.32358095608699","129.476809271272","0.0981576722184891","2.40155097976411","106.473784410648","0.561154433001846","2.31070319254122","101.121122133978","0.561147776962223","2.20691577845091","95.0744462977942","0.561147776962223","3.25677777734197","147.530395901978","0.625715561891787","3.12655633999154","139.529300448184","0.625715561891787","2.96265955543884","131.679540374712","0.625715561891787","2.76230869152956","117.462975283674","0.189534626993481","2.57268565905352","108.717193058618","0.189534626993481","2.3219689109987","103.626236558113","0.19260447962077"
6.375,"3.81718633237829","166.595054744168","0.0718348792687389","3.49921487173433","140.533220910174","0.0718348792687389","3.33185066477982","132.808659936052","0.0718348792687389","2.53149724877251","109.005281659421","0.435120186733975","2.44340750317746","103.564529637156","0.435113762626584","2.3427971912463","97.4172434890405","0.435113762626584","3.29038695913869","150.820782861117","0.560114138205208","3.16136888036269","142.690669328546","0.560114138205208","2.99893003210052","134.678470406813","0.560114138205208","2.77550492296521","120.238480206639","0.130607257976909","2.58838831303935","111.305581371657","0.130607257976909","2.33747211252081","105.963708670634","0.13316384354834"
6.5,"3.82957020253087","170.424624946699","0.052150359450657","3.51343492382447","144.046655833999","0.052150359450657","3.34706594784493","136.155725883897","0.052150359450657","2.64896604957515","111.654247708996","0.31946192779946","2.56445434675046","106.128983983906","0.319456297330317","2.46793738973555","99.885180878776","0.319456297330317","3.33242383098246","154.1532066921","0.496885052104116","3.20515596408717","145.895825292634","0.496885052104116","3.04483823713335","137.723308643946","0.496885052104116","2.8191095250009","123.05758973164","0.0890485857189147","2.63541239795638","113.940993769614","0.0890485857189147","2.38273001321031","108.346438683845","0.0911405910409804"
